source_center,destination_center,trip_count,median_actual_time,mean_actual_time,median_osrm_time,median_delay_ratio,mean_delay_ratio,std_delay_ratio,delay_pct,sla_breach_rate,chronic_delay_rate,median_distance,ftl_share,route_type_entropy,is_bottleneck_corridor,src_betweenness,dst_betweenness,src_pagerank,dst_pagerank,src_risk,dst_risk,src_community,dst_community,cross_community,corridor_risk,delay_pct_over_osrm,revenue_risk_proxy,corridor_label
IND208006AAA,IND209304AAA,9,173.0,122.55555555555556,24.0,6.178571428571429,5.244469916717126,3.188835947965956,517.8571428571429,0.6666666666666666,1.0,18.36243187839353,0.0,-1.4426951601859516e-10,True,0.0,0.0572664448239123,0.0003694289759789,0.0111358066055175,0.2061287066735401,0.3757694622956246,1,1,0,0.2909490844845823,517.8571428571429,6.0,08006AAA → 09304AAA
IND828111AAA,IND826004AAA,14,67.5,109.21428571428572,11.0,6.136363636363637,9.720010381775086,8.669489431944829,513.6363636363636,0.3571428571428571,1.0,10.722871636364175,0.0,-1.4426951601859516e-10,True,0.0004035494840696,0.0267546740225053,0.0002484302127074,0.0026768124854413,0.1588014269581989,0.2873340276210149,1,1,0,0.2230677272896069,513.6363636363636,4.999999999999999,28111AAA → 26004AAA
IND395004AAB,IND395023AAD,7,87.0,99.28571428571428,15.0,6.090909090909091,7.204804345980817,2.9259640856755085,509.09090909090907,0.4285714285714285,1.0,12.647156358159137,0.0,-1.4426951601859516e-10,True,0.0,1.787877461068056e-05,0.0006065960030033,0.0021536216539241,0.1590040530552776,0.1742144723648321,36,36,0,0.1666092627100548,509.09090909090907,2.9999999999999996,95004AAB → 95023AAD
IND321001AAA,IND301001AAB,15,536.0,378.6,76.0,5.826086956521739,4.764508913737657,2.446765760104174,482.60869565217394,0.8,1.0,66.31193403353647,1.0,-1.4426951601859516e-10,True,0.000808193586993,0.0291019017178218,0.0007147839092684,0.001374893746374,0.1538808502291026,0.2604103115799334,49,49,0,0.207145580904518,482.60869565217394,12.0,21001AAA → 01001AAB
IND821109AAA,IND802213AAB,24,154.0,138.41666666666666,31.5,5.753787878787879,5.682915088383839,0.9781552449318692,475.3787878787879,0.5416666666666666,1.0,42.47040985252355,1.0,-1.4426951601859516e-10,True,0.0008103828247004,0.000808193586993,0.0001844886693264,0.0002697279592445,0.1913317756208251,0.1148853459445707,1,1,0,0.1531085607826979,475.3787878787879,13.0,21109AAA → 02213AAB
IND302020AAA,IND302014AAB,38,66.5,54.47368421052632,11.0,5.75,4.934157363104732,2.2535361440889794,475.0,0.5,1.0,9.729573974204168,0.0,-1.4426951601859516e-10,True,0.0,0.0001032590452004,0.0003653172237333,0.0031475735433485,0.1632105534833588,0.1937641781253868,14,14,0,0.1784873658043728,475.0,19.0,02020AAA → 02014AAB
IND485001AAC,IND486771AAA,25,416.0,394.56,72.0,5.698630136986301,5.440267691144002,2.406859527600389,469.8630136986301,0.8,0.92,67.02667210640432,1.0,-1.4426951601859516e-10,True,0.0070730621597559,0.0012361895587956,0.0017077830771932,0.0007751548629571,0.2467234230406251,0.1338622408030417,1,1,0,0.1902928319218334,469.8630136986301,20.0,85001AAC → 86771AAA
IND700065AAB,IND712310AAA,30,80.0,91.06666666666666,19.5,5.666193181818182,5.937274831649831,2.3262865542846867,466.6193181818181,0.5,1.0,12.158038893773204,0.0,-1.4426951601859516e-10,True,0.0,0.0,0.0001128934352693,0.0003048172592276,0.0883360434359061,0.0884642404379066,123,123,0,0.0884001419369063,466.6193181818182,15.0,00065AAB → 12310AAA
IND500050AAA,IND501218AAC,11,144.0,111.27272727272728,16.0,5.566666666666666,5.720770228468176,4.089982330513468,456.6666666666666,0.5454545454545454,0.9090909090909092,18.785660570382667,0.0,-1.4426951601859516e-10,True,0.0008070989681392,0.0,0.0006128803131539,0.0001937381360571,0.194792817705051,0.1031194951207618,0,0,0,0.1489561564129064,456.66666666666663,6.0,00050AAA → 01218AAC
IND331701AAA,IND125001AAA,6,343.0,250.66666666666663,55.5,5.484375,4.578774350649351,1.968286655673729,448.4375,0.6666666666666666,1.0,44.94708648418501,1.0,-1.4426951601859516e-10,True,0.0004031846111184,0.0088065735510895,0.0002253890607588,0.0015383257331084,0.1184025121836121,0.2413796920491024,11,11,0,0.1798911021163572,448.4375,4.0,31701AAA → 25001AAA
